gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ip
AT3G43660,671.4794675639591,-0.45252924929100374,0.13490782587883843,-3.354358773059045,7.954914830967356e-4,0.00233010846516328,Non-UBP5 targets
AT3G50870,5296.704982260722,-0.18887349321553604,0.05631848197806349,-3.3536680425637857,7.974797345933348e-4,0.00233524000527034,Non-UBP5 targets
AT1G62770,495.1355381194087,-0.5808940011584184,0.1736493978744356,-3.345211721254904,8.221978120728806e-4,0.00240548249430857,Non-UBP5 targets
AT2G23100,1108.779440531607,0.4032193171246802,0.12057183849951893,3.3442246725489633,8.251288556762192e-4,0.00241334313027858,Non-UBP5 targets
AT4G13090,2100.776648204817,0.25528129826324525,0.07641392591417902,3.3407693062381503,8.354661110880821e-4,0.00244285444733656,Non-UBP5 targets
AT3G10815,529.9284155366405,-0.5921244995723417,0.1774934782985114,-3.336035246188016,8.498238876578404e-4,0.00248189772688721,Non-UBP5 targets
AT5G42232,1139.7601822099905,0.45587319877885846,0.13666451830281243,3.335709988519214,8.508187044648691e-4,0.0024840687943596,Non-UBP5 targets
AT2G19770,2069.015954094011,0.24338431255601323,0.07299225810325036,3.3343853016814022,8.54881492116073e-4,0.0024951932472989,Non-UBP5 targets
AT3G24760,558.0268515636133,1.7546965392479037,0.5265067043856007,3.332714521262405,8.600313979531943e-4,0.00250948322852261,UBP5 targets
AT3G56060,229.07625052181496,-0.7898736800106555,0.2371025958006069,-3.3313582137030053,8.642331328097236e-4,0.0025202159845677,Non-UBP5 targets
AT1G35545,1564.0362256131357,0.3737381383499678,0.11219053877882712,3.3312803594495306,8.644748959210475e-4,0.0025202159845677,Non-UBP5 targets
AT1G35550,1564.0362256131357,0.3737381383499678,0.11219053877882712,3.3312803594495306,8.644748959210475e-4,0.0025202159845677,Non-UBP5 targets
