gene_id,H2Aub,H3K27,misregulated
AT5G17523,1.3338424540818217,NA,NA
AT5G17530,1.3338424540818217,NA,NA
AT2G02350,1.484845265896546,2.1569646894232517,NA
AT2G02360,1.484845265896546,2.1569646894232517,-1.34071525561128
AT2G02370,1.484845265896546,NA,NA
AT1G78790,1.9819848217272649,3.095547902040581,NA
AT5G19340,-1.193848017365527,NA,NA
AT4G20010,2.128300408614639,NA,NA
AT3G19220,1.4605917843631109,NA,NA
AT1G73930,2.074661100894743,NA,NA
AT3G18100,1.6667401255042742,NA,NA
AT5G10160,2.0038440129719124,NA,NA
AT3G61800,1.5082139905736232,NA,NA
AT3G61810,1.5082139905736232,NA,NA
AT4G13370,1.414073556686372,2.3590301418324433,NA
AT2G45320,1.455401698072443,NA,NA
AT2G45330,1.455401698072443,2.52366844620683,-1.22679437884786
AT5G43750,1.8655608713068523,NA,NA
AT5G13060,1.4023891115972311,2.567995503508551,NA
AT2G48121,-1.4119004352600713,NA,NA
AT1G23980,1.9725313896926313,NA,NA
AT1G23985,1.9725313896926313,NA,NA
AT1G44820,1.8998949887515435,NA,NA
AT3G50870,-1.1998504078296666,-0.20099096449308204,NA
AT1G17730,1.67793589279914,NA,NA
AT2G42710,1.7470369249255069,NA,NA
AT2G40800,1.6876262821462669,NA,NA
AT4G06965,-1.3080385467165292,NA,NA
AT3G26600,1.1873101162199893,2.3606022684191412,NA
AT4G00150,-1.7045795159190602,NA,NA
AT3G08090,-1.083573841973507,NA,NA
AT3G49950,-1.083573841973507,-0.8682744522870481,NA
AT1G55080,1.5844840768199338,NA,NA
AT1G55090,1.5844840768199338,NA,NA
AT5G25790,2.3120845553949847,NA,NA
AT2G25620,1.8257135843368928,NA,NA
AT4G17895,1.773096649358306,NA,NA
AT4G24630,1.3302134827426466,0.2875525122233902,-2.15015602669886
AT5G17550,1.6526696052218564,NA,NA
AT5G17560,1.6526696052218564,NA,NA
AT5G43070,1.667388617608007,2.5902355160950195,NA
AT2G05120,1.7274090752174602,NA,NA
AT2G32510,-1.492138612933658,NA,NA
AT2G31660,1.8415245011496375,NA,NA
AT1G03950,1.2650007689069227,NA,-1.31047750606843
AT4G04200,1.6772444923850336,NA,NA
AT5G52950,1.6130071014450895,NA,NA
AT5G52960,1.6130071014450895,NA,NA
AT5G03880,1.970460205892167,NA,NA
AT5G37310,1.6235344885366685,NA,NA
AT1G68340,1.594267618135147,3.6057721239175913,-2.22904904836296
AT1G56460,1.8735827238749796,NA,NA
AT3G08225,1.599474261661348,NA,NA
AT3G52040,1.599474261661348,NA,NA
AT3G52050,1.599474261661348,2.498932066318166,NA
AT1G04310,1.2243735495048806,2.131020463836834,-1.95963628145338
AT3G12300,1.5188624556804222,NA,NA
AT3G12320,1.5188624556804222,NA,NA
AT5G09845,1.2503248504578288,NA,NA
AT5G67220,1.2503248504578288,NA,NA
AT5G67230,1.2503248504578288,NA,NA
AT5G39960,1.6744744796420084,NA,NA
AT1G06017,1.2649779274670816,NA,NA
AT1G26740,1.2649779274670816,NA,NA
AT1G26750,1.2649779274670816,NA,NA
AT5G04600,1.2445709841401604,NA,NA
AT4G17510,1.3335588736723911,NA,NA
AT5G63120,1.3201147633013568,NA,NA
AT5G63130,1.3201147633013568,2.64608889586961,NA
AT1G22600,-1.197782244705102,NA,NA
AT3G59870,1.7119991405138482,NA,NA
AT1G02640,-1.4306864488786073,NA,NA
AT4G37580,-1.2547710529117069,NA,NA
AT3G02570,1.7958909227428561,NA,NA
AT2G29220,-1.2318364597045413,-0.9161368776490182,NA
AT2G18250,1.7154974919957109,NA,NA
AT2G20390,1.7951019130696615,NA,NA
AT2G20400,1.7951019130696615,NA,NA
AT4G34380,-1.2573484773765866,NA,NA
AT2G02590,1.6870161546339542,NA,-1.74444797619619
AT1G80630,2.097226088534657,NA,NA
AT2G38830,1.637817719310951,NA,NA
AT2G38840,1.637817719310951,NA,NA
AT3G55730,1.8697117461780208,NA,NA
AT1G71080,1.2232341580979609,2.7007220638230796,NA
AT1G71090,1.2232341580979609,NA,NA
AT3G06610,1.490419302606819,NA,NA
AT1G26290,1.9219903492517083,NA,NA
AT1G26300,1.9219903492517083,NA,NA
AT4G14600,1.6291689628716073,NA,NA
AT4G17530,1.3771469561741936,NA,NA
AT4G17540,1.3771469561741936,NA,NA
AT1G70350,1.6462783536115724,NA,NA
AT1G70360,1.6462783536115724,NA,NA
AT1G31810,2.0647486031881357,NA,NA
AT5G26760,1.767198377019597,NA,NA
AT5G38460,1.8300957764594885,NA,NA
AT5G17290,1.4754002845144112,2.8085459439978644,-1.66006519197848
AT2G27790,1.0423860826241838,NA,NA
AT2G27800,1.0423860826241838,2.5685052509227457,NA
AT2G27810,1.0423860826241838,NA,NA
AT4G02150,2.1284612584615,NA,NA
AT1G62305,1.3436936719849026,2.9463741721095835,-1.64720989321913
AT3G13970,2.3303752324059612,NA,NA
AT3G10710,-1.171765909702498,NA,NA
AT3G10720,-1.171765909702498,NA,NA
AT1G27385,1.7771308848359482,2.1759231160558237,-1.54961706376133
AT5G04680,-0.8366185066357017,-0.1838760799629287,NA
AT5G04690,-0.8366185066357017,-0.1838760799629287,NA
AT3G17640,-1.0906614296735722,NA,NA
AT3G17650,-1.0906614296735722,NA,NA
AT3G17655,-1.0906614296735722,NA,NA
AT3G00990,1.327702384785399,NA,NA
AT3G01319,1.327702384785399,NA,NA
AT3G01320,1.327702384785399,NA,NA
AT5G27710,1.8250224049825652,NA,-1.63166274943439
AT5G59140,1.8215472124271943,NA,NA
AT3G08950,1.1524603138025902,2.8713884886346324,NA
AT5G10370,1.3389807550223678,2.37398901876163,NA
AT5G11960,1.910192485096515,NA,NA
AT5G04610,1.2824877618027788,NA,NA
AT5G04620,1.2824877618027788,NA,NA
AT5G48520,1.829923948744777,NA,NA
AT5G19620,1.502872152163688,NA,NA
AT3G23910,2.009719365356393,NA,NA
AT4G27970,-0.9720999707719236,NA,NA
AT4G27980,-0.9720999707719236,NA,NA
AT1G28560,1.7991071043406357,NA,NA
AT3G10730,1.8311169220081331,NA,NA
AT3G08947,1.0336444684486967,NA,NA
AT4G32680,1.5122265307274034,NA,NA
AT4G32690,1.5122265307274034,NA,NA
AT1G77890,1.460947940726051,NA,NA
AT3G26120,-0.95389175988796715,-0.1653939084371179,NA
AT1G31290,-1.2584819405812928,NA,NA
AT5G10740,1.2333979406862572,NA,NA
AT5G19485,1.4781708979480643,NA,NA
AT5G14590,1.4893433777993126,NA,NA
AT5G14600,1.4893433777993126,NA,NA
AT1G32210,1.3871659053767114,NA,NA
AT1G32220,1.3871659053767114,NA,NA
AT3G07355,1.578571335401492,NA,NA
AT3G46210,1.578571335401492,NA,NA
AT3G46220,1.578571335401492,NA,NA
AT1G59600,1.6187877529092658,NA,NA
AT5G46080,2.0061910953485187,NA,NA
AT5G02410,1.690982160358963,NA,NA
AT5G04060,1.3308140242164996,NA,NA
AT3G59030,-1.0835785232006687,NA,NA
AT3G27100,2.013116462687383,NA,NA
AT5G57815,1.7950235948212154,NA,-1.26666720750125
