bins,name,value,rep,type
H2Aub-Col-rep1.cov.RPGConly,141,1.172055274434827,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,142,1.1660524904408525,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,143,1.1610743657933336,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,144,1.1541628647098554,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,145,1.1477738937535276,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,146,1.140961431705678,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,147,1.1379956153240405,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,148,1.1338067155870577,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,149,1.1294232027452868,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,150,1.1260765130023758,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,151,1.12270085963727,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,152,1.117371866118688,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,153,1.114865356957759,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,154,1.1113970019152892,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,155,1.1091442368065063,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,156,1.1077970383271478,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,157,1.1066692226355623,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,158,1.1072344173991595,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,159,1.1069961756619866,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,160,1.1044210504390968,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,161,1.1036089311121244,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,162,1.102284237736284,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,163,1.0991607963775574,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,164,1.0969652364127465,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,165,1.0957063601394743,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,166,1.0935241483566072,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,167,1.0918494500225218,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,168,1.090303445182362,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,169,1.089655230899076,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,170,1.0887190205803114,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,171,1.087489542487355,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,172,1.0865783727497826,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,173,1.0834754298886806,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,174,1.0824479519685168,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,175,1.08148622913387,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,176,1.0782587932973535,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,177,1.07565210307191,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,178,1.0707527577325489,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,179,1.0674702048599487,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,180,1.0635547869203186,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,181,1.057350009230083,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,182,1.0548506592367528,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,183,1.051302439626058,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,184,1.045318486261274,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,185,1.0386359972948696,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,186,1.0293238771138762,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,187,1.0174895451064438,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,188,1.0034263331455089,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,189,0.9890606393461232,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,190,0.970915735121744,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,191,0.9482676631329758,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,192,0.9241356002708632,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,193,0.9023654346106164,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,194,0.8752395889466662,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,195,0.8464930023763869,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,196,0.8165438213759629,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,197,0.7875242161396501,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,198,0.760452938442368,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,199,0.7404376404724217,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,200,0.7296208196907836,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,201,0.7305424485042462,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,202,0.7314202513418053,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,203,0.7337368822924007,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,204,0.7363491823071847,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,205,0.7395147376000218,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,206,0.7443186420980678,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,207,0.7490533650376997,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,208,0.7557109246208426,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,209,0.765192590706722,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,210,0.7729850108447722,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,211,0.7827182145467217,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,212,0.7933356342857382,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,213,0.804068065418445,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,214,0.8162830964241007,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,215,0.8280335035396381,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,216,0.84063173814694,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,217,0.8534997853959757,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,218,0.866728170207926,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,219,0.8827362085335401,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,220,0.8960065843992892,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,221,0.9103054723078912,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,222,0.9252497592783075,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,223,0.9397633945625038,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,224,0.9531261979678216,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,225,0.968398777803174,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,226,0.9836588845627044,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,227,0.9984919068308996,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,228,1.0118419288889071,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,229,1.0235638842476864,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,230,1.0351509589586374,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,231,1.048246248153636,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,232,1.0626395393271375,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,233,1.0749701934970604,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,234,1.0874786643555552,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,235,1.0988406920718008,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,236,1.1094251895476908,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,237,1.121706336924492,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,238,1.1318142250056842,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,239,1.145637898626418,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,240,1.157482735701327,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,241,1.1680882597889162,rep1,Col
H2Aub-Col-rep1.cov.RPGConly,242,1.1767406036322514,rep1,Col
