gene_id,name,value,mis_reg
AT1G02610,H3K27-Col,0.3596879548192771,Non-misegulated genes
AT1G02610,H3K27-ubp5,0.4955835082987552,Non-misegulated genes
AT1G02640,H3K27-Col,0.288273236196319,Non-misegulated genes
AT1G02640,H3K27-ubp5,0.45571727911646587,Non-misegulated genes
AT1G02660,H3K27-Col,0.4628326343825666,Non-misegulated genes
AT1G02660,H3K27-ubp5,1.226427401795735,Non-misegulated genes
AT1G02680,H3K27-Col,0.25860627927927926,Non-misegulated genes
AT1G02680,H3K27-ubp5,0.48271666009852215,Non-misegulated genes
AT1G02730,H3K27-Col,0.750025102247191,Non-misegulated genes
AT1G02730,H3K27-ubp5,0.9749567924028268,Non-misegulated genes
AT1G02750,H3K27-Col,0.5698770466666666,Non-misegulated genes
AT1G02750,H3K27-ubp5,0.6458764022346368,Non-misegulated genes
AT1G02780,H3K27-Col,0.3450172748091603,Non-misegulated genes
AT1G02780,H3K27-ubp5,0.4432626256684492,Non-misegulated genes
AT1G02810,H3K27-Col,4.486639747700394,Non-misegulated genes
AT1G02810,H3K27-ubp5,2.432132447028424,Non-misegulated genes
AT1G02816,H3K27-Col,0.49824318103448273,Non-misegulated genes
AT1G02816,H3K27-ubp5,2.2188005266853934,Non-misegulated genes
AT1G02840,H3K27-Col,0.4542056184210526,Non-misegulated genes
AT1G02840,H3K27-ubp5,0.5815831646859083,Non-misegulated genes
AT1G02850,H3K27-Col,0.8362434331395349,Non-misegulated genes
AT1G02850,H3K27-ubp5,0.7779132630813953,Non-misegulated genes
AT1G02860,H3K27-Col,0.49865827450980393,Non-misegulated genes
AT1G02860,H3K27-ubp5,0.6999338093023256,Non-misegulated genes
AT1G02870,H3K27-Col,0.5540497387387388,Non-misegulated genes
AT1G02870,H3K27-ubp5,0.6873717147651007,Non-misegulated genes
AT1G02890,H3K27-Col,0.5158861478352693,Non-misegulated genes
AT1G02890,H3K27-ubp5,0.632846401937046,Non-misegulated genes
AT1G02900,H3K27-Col,0.7533383876404495,Non-misegulated genes
AT1G02900,H3K27-ubp5,1.0044177946428572,Non-misegulated genes
AT1G02910,H3K27-Col,0.5686458867924529,Non-misegulated genes
AT1G02910,H3K27-ubp5,0.6620567586206897,Non-misegulated genes
AT1G02960,H3K27-Col,0.7109085745033112,Non-misegulated genes
AT1G02960,H3K27-ubp5,0.7125119866666667,Non-misegulated genes
AT1G02990,H3K27-Col,0.6231460288739172,Non-misegulated genes
AT1G02990,H3K27-ubp5,0.7687609427509293,Non-misegulated genes
AT1G03000,H3K27-Col,0.5616439548387097,Non-misegulated genes
AT1G03000,H3K27-ubp5,0.7480472552182164,Non-misegulated genes
AT1G03020,H3K27-Col,5.8190980272108845,Downregulated
AT1G03020,H3K27-ubp5,4.797097475845411,Downregulated
AT1G03040,H3K27-Col,0.6018810570866142,Non-misegulated genes
AT1G03040,H3K27-ubp5,0.9349111920236336,Non-misegulated genes
AT1G03060,H3K27-Col,0.6829549345175897,Non-misegulated genes
AT1G03060,H3K27-ubp5,0.7929651710948905,Non-misegulated genes
AT1G03080,H3K27-Col,0.6156981477170994,Non-misegulated genes
AT1G03080,H3K27-ubp5,0.7617008354080221,Non-misegulated genes
AT1G03106,H3K27-Col,1.6139509510489511,Upregulated
AT1G03106,H3K27-ubp5,1.2229193973214283,Upregulated
AT1G03110,H3K27-Col,0.47630351578947366,Non-misegulated genes
AT1G03110,H3K27-ubp5,0.6459765596153846,Non-misegulated genes
AT1G03130,H3K27-Col,0.465017,Non-misegulated genes
AT1G03130,H3K27-ubp5,0.6429995987261147,Non-misegulated genes
AT1G03140,H3K27-Col,0.43134716091954023,Non-misegulated genes
AT1G03140,H3K27-ubp5,0.4956818955696203,Non-misegulated genes
AT1G03150,H3K27-Col,0.4001999509433962,Non-misegulated genes
AT1G03150,H3K27-ubp5,0.5100522116991644,Non-misegulated genes
AT1G03160,H3K27-Col,0.5395773078913325,Non-misegulated genes
AT1G03160,H3K27-ubp5,0.6564251230116649,Non-misegulated genes
AT1G03210,H3K27-Col,0.6017737689393939,Non-misegulated genes
AT1G03210,H3K27-ubp5,1.0202947694300517,Non-misegulated genes
AT1G03230,H3K27-Col,0.5419085444444445,Non-misegulated genes
AT1G03230,H3K27-ubp5,0.8966540077519379,Non-misegulated genes
AT1G03250,H3K27-Col,0.4537400890410959,Non-misegulated genes
AT1G03250,H3K27-ubp5,0.5817561775956284,Non-misegulated genes
AT1G03280,H3K27-Col,0.5670314747320061,Non-misegulated genes
AT1G03280,H3K27-ubp5,0.6590251941251596,Non-misegulated genes
AT1G03290,H3K27-Col,0.617861199809705,Non-misegulated genes
AT1G03290,H3K27-ubp5,0.7196645574712643,Non-misegulated genes
AT1G03310,H3K27-Col,0.6663838610223642,Non-misegulated genes
AT1G03310,H3K27-ubp5,0.7878897583643123,Non-misegulated genes
AT1G03330,H3K27-Col,0.5199093245614035,Non-misegulated genes
AT1G03330,H3K27-ubp5,0.7375179049079754,Non-misegulated genes
AT1G03350,H3K27-Col,0.4302360519480519,Non-misegulated genes
AT1G03350,H3K27-ubp5,0.5292766270096463,Non-misegulated genes
AT1G03360,H3K27-Col,0.6337644071856288,Non-misegulated genes
AT1G03360,H3K27-ubp5,0.9953911825242718,Non-misegulated genes
AT1G03370,H3K27-Col,0.6716766644444444,Non-misegulated genes
AT1G03370,H3K27-ubp5,0.735812781663516,Non-misegulated genes
AT1G03380,H3K27-Col,0.6249615544554455,Non-misegulated genes
AT1G03380,H3K27-ubp5,0.7134033568904594,Non-misegulated genes
AT1G03400,H3K27-Col,2.0722685582089553,Non-misegulated genes
AT1G03400,H3K27-ubp5,2.0609493554216867,Non-misegulated genes
AT1G03410,H3K27-Col,0.643505449725777,Upregulated
AT1G03410,H3K27-ubp5,0.6768870910569106,Upregulated
AT1G03430,H3K27-Col,0.5250301732851985,Non-misegulated genes
AT1G03430,H3K27-ubp5,0.7141740511508952,Non-misegulated genes
