ubp5_targets,cat
AT1G07119,Unchanged
AT1G07120,De-novo marked
AT1G07140,Unchanged
AT1G07200,Unchanged
AT1G07210,Hyper-marked
AT1G07230,De-novo marked
AT1G07250,Hypo-marked
AT1G07260,Hypo-marked
AT1G07270,Unchanged
AT1G07290,De-novo marked
AT1G07320,Hyper-marked
AT1G07350,De-novo marked
AT1G07400,Unchanged
AT1G07410,Unchanged
AT1G07413,De-novo marked
AT1G07470,Unchanged
AT1G07477,Hypo-marked
AT1G07480,De-novo marked
AT1G07510,Unchanged
AT1G07520,De-novo marked
AT1G07615,De-novo marked
AT1G07660,Hypo-marked
AT1G07667,Hyper-marked
AT1G07700,De-novo marked
AT1G07705,Unchanged
AT1G07725,De-novo marked
AT1G07728,De-novo marked
AT1G07745,Hyper-marked
AT1G07770,Unchanged
AT1G07790,Hyper-marked
AT1G07793,De-novo marked
AT1G07795,Hyper-marked
AT1G07810,Unchanged
AT1G07813,Unchanged
AT1G07820,De-novo marked
AT1G07840,De-novo marked
AT1G07850,Hypo-marked
AT1G07860,Hypo-marked
AT1G07870,Hypo-marked
AT1G07877,Unchanged
AT1G07901,Hypo-marked
AT1G07902,Hypo-marked
AT1G07920,Unchanged
AT1G07930,Unchanged
AT1G07940,Unchanged
AT1G07950,De-novo marked
AT1G07957,Unchanged
AT1G07960,De-novo marked
AT1G07970,Unchanged
AT1G07980,Unchanged
AT1G07983,De-novo marked
AT1G07987,De-novo marked
AT1G07990,De-novo marked
AT1G08000,Unchanged
AT1G08010,Unchanged
AT1G08040,Unchanged
AT1G08050,Unchanged
AT1G08060,De-novo marked
AT1G08105,Unchanged
AT1G08110,De-novo marked
AT1G08130,Unchanged
AT1G08190,De-novo marked
AT1G08210,Hyper-marked
AT1G08220,De-novo marked
AT1G08250,Unchanged
AT1G08260,Hyper-marked
AT1G08270,Hyper-marked
AT1G08280,Hyper-marked
AT1G08300,Hyper-marked
AT1G08360,Hyper-marked
AT1G08370,Unchanged
AT1G08390,De-novo marked
AT1G08400,Hyper-marked
AT1G08470,Hyper-marked
AT1G08480,Hyper-marked
AT1G08530,De-novo marked
AT1G08557,Unchanged
AT1G08580,De-novo marked
AT1G08590,De-novo marked
AT1G08592,De-novo marked
AT1G08597,Unchanged
AT1G08600,De-novo marked
AT1G08620,Unchanged
AT1G08680,Hyper-marked
AT1G08700,Hyper-marked
AT1G08710,Hyper-marked
AT1G08713,Unchanged
AT1G08723,De-novo marked
AT1G08770,De-novo marked
AT1G08775,Unchanged
AT1G08780,De-novo marked
AT1G08805,Unchanged
AT1G08815,De-novo marked
AT1G08825,Unchanged
AT1G08845,De-novo marked
AT1G08855,De-novo marked
AT1G08870,De-novo marked
AT1G08880,De-novo marked
AT1G08913,Unchanged
AT1G08937,Unchanged
AT1G08960,De-novo marked
AT1G08970,Unchanged
AT1G08990,Hypo-marked
AT1G09000,Hypo-marked
AT1G09020,Unchanged
AT1G09040,Hyper-marked
AT1G09050,Unchanged
AT1G09060,De-novo marked
AT1G09130,Hyper-marked
AT1G09140,De-novo marked
AT1G09160,De-novo marked
AT1G09180,Hypo-marked
AT1G09195,Hyper-marked
AT1G09200,Hyper-marked
AT1G09210,Hyper-marked
AT1G09235,Unchanged
AT1G09247,Unchanged
AT1G09253,Unchanged
AT1G09267,Unchanged
AT1G09270,De-novo marked
AT1G09287,Unchanged
AT1G09290,De-novo marked
AT1G09300,De-novo marked
AT1G09320,Hyper-marked
AT1G09323,Unchanged
AT1G09327,Hypo-marked
AT1G09330,De-novo marked
AT1G09357,Unchanged
AT1G09363,Unchanged
AT1G09367,De-novo marked
AT1G09383,Hyper-marked
AT1G09427,Unchanged
AT1G09450,De-novo marked
AT1G09486,Unchanged
AT1G09490,Unchanged
AT1G09520,Unchanged
AT1G09530,Unchanged
AT1G09575,Unchanged
AT1G09580,Hyper-marked
AT1G09600,De-novo marked
AT1G09617,Unchanged
AT1G09620,Hyper-marked
AT1G09627,De-novo marked
