gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	effect
AT5G46860	157.314589079881	-0.0154865675793518	0.14771482265152	6.66496032522918	1.32368431155596e-11	3.69359263125066e-10	NO
AT5G46870	4.05221795573716	-1.41671964963123	0.77110054015998	0	0.705546959616662	NA	NA
AT5G46871	3.0447595929779	-4.07424180890312	1.21452818666893	0	0.994316723848274	NA	NA
AT5G46873	0	NA	NA	NA	NA	NA	NA
AT5G46874	0	NA	NA	NA	NA	NA	NA
AT5G46875	0	NA	NA	NA	NA	NA	NA
AT5G46877	0	NA	NA	NA	NA	NA	NA
AT5G46880	6.64928022848589	-0.148941409879435	0.599058082997155	1.42066122513968	0.0777076350439836	0.0998391363516419	YES
AT5G46890	47.4124789036347	-0.572838498795198	0.451910304549727	0.94523514269146	0.172269420861217	0.20208011534032	YES
AT5G46900	46.8382491826604	-0.117518660471187	0.339450841832722	2.59973236408614	0.00466482457916711	0.00859372659891763	NO
AT5G46910	17.6021755852339	-0.311728989979949	0.379815867946998	1.81211757618325	0.0349840155707546	0.0498648036565833	NO
AT5G46915	1.20259336241104	0.941297966118496	1.26984211560466	0.0462278208921677	0.481564334153781	NA	NA
AT5G46920	35.6614585042586	0.192419222337655	0.269785769878426	2.993415027139	0.00137937158652016	0.00296961509785963	NO
AT5G46930	0	NA	NA	NA	NA	NA	NA
AT5G46940	0	NA	NA	NA	NA	NA	NA
AT5G46950	0.109153560879601	-0.281949024808533	3.5338115409304	0.203194473410547	0.41949151615697	NA	NA
AT5G46960	1.01736866448266	-1.41756485469171	1.70369543391212	0	0.596808022558333	NA	NA
AT5G46970	0	NA	NA	NA	NA	NA	NA
AT5G46980	0	NA	NA	NA	NA	NA	NA
AT5G46990	0	NA	NA	NA	NA	NA	NA
AT5G47000	3.44770425570517	0.871213622592622	0.92022200454594	0.13995142125614	0.444349186376675	NA	NA
AT5G47010	90.6237458547763	0.104022840737321	0.18030757432778	4.9691598514541	3.36218094612855e-07	2.2624647464656e-06	NO
