gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,ubp5_target
AT1G17730,downregulated,Encodes an ESCRT-related protein: CHMP1A/AT1G73030; CHMP1B/AT1G17730.  CHMP1A and B mediate multivesicular body sorting of auxin carriers and are required for plant development.  ESCRT: Endosomal Sorting Complexes Required For Transport machinery; CHMP: Charged Multivesicular Body Protein/Chromatin Modifying Protein.,VACUOLAR PROTEIN SORTING 46.1 (VPS46.1);CHARGED MULTIVESICULAR BODY PROTEIN/CHROMATIN MODIFYING  PROTEIN1B (CHMP1B),-0.962539096381473,2.00482507168706e-9,TRUE
AT1G17790,NA,NA,NA,NA,NA,NA
AT1G17880,NA,NA,NA,NA,NA,NA
AT1G17890,NA,NA,NA,NA,NA,NA
AT1G18040,NA,NA,NA,NA,NA,NA
AT1G18070,NA,NA,NA,NA,NA,NA
AT1G18080,NA,NA,NA,NA,NA,NA
AT1G18090,NA,NA,NA,NA,NA,NA
AT1G18210,NA,NA,NA,NA,NA,NA
AT1G18300,NA,NA,NA,NA,NA,NA
AT1G18360,downregulated,alpha/beta-Hydrolases superfamily protein; FUNCTIONS IN: hydrolase activity; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT1G73480.1); Has 6456 Blast hits to 6448 proteins in 1759 species: Archae - 38; Bacteria - 4736; Metazoa - 147; Fungi - 149; Plants - 444; Viruses - 63; Other Eukaryotes - 879 (source: NCBI BLink).,NA,-0.803483167366603,2.17801286706223e-8,TRUE
AT1G18410,NA,NA,NA,NA,NA,NA
AT1G18415,NA,NA,NA,NA,NA,NA
AT1G18420,NA,NA,NA,NA,NA,NA
AT1G18430,NA,NA,NA,NA,NA,NA
AT1G18440,downregulated,"Peptidyl-tRNA hydrolase family protein; FUNCTIONS IN: aminoacyl-tRNA hydrolase activity; INVOLVED IN: translation; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Peptidyl-tRNA hydrolase, conserved site (InterPro:IPR018171), Peptidyl-tRNA hydrolase (InterPro:IPR001328); BEST Arabidopsis thaliana protein match is: Peptidyl-tRNA hydrolase family protein (TAIR:AT5G16140.2); Has 8043 Blast hits to 8040 proteins in 2597 species: Archae - 0; Bacteria - 5299; Metazoa - 47; Fungi - 102; Plants - 126; Viruses - 0; Other Eukaryotes - 2469 (source: NCBI BLink).",NA,-0.929632713042211,6.34448820718047e-7,TRUE
AT1G18560,NA,NA,NA,NA,NA,NA
AT1G18720,NA,NA,NA,NA,NA,NA
AT1G18800,NA,NA,NA,NA,NA,NA
AT1G18850,NA,NA,NA,NA,NA,NA
AT1G05453,NA,NA,NA,NA,NA,NA
AT1G18890,NA,NA,NA,NA,NA,NA
AT1G19100,NA,NA,NA,NA,NA,NA
AT1G19110,NA,NA,NA,NA,NA,NA
AT1G19190,NA,NA,NA,NA,NA,NA
AT1G19330,downregulated,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G75060.1).,NA,-0.595679237927711,0.00223021693570801,TRUE
AT1G19440,NA,NA,NA,NA,NA,NA
AT1G19480,NA,NA,NA,NA,NA,NA
AT1G19520,NA,NA,NA,NA,NA,NA
AT1G19650,downregulated,"Sec14p-like phosphatidylinositol transfer family protein; FUNCTIONS IN: phosphatidylinositol transporter activity, transporter activity; INVOLVED IN: transport; LOCATED IN: plasma membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Cellular retinaldehyde-binding/triple function, C-terminal (InterPro:IPR001251), Cellular retinaldehyde-binding/triple function, N-terminal (InterPro:IPR008273), Cellular retinaldehyde binding/alpha-tocopherol transport (InterPro:IPR001071), Phosphatidylinositol transfer protein-like, N-terminal (InterPro:IPR011074); BEST Arabidopsis thaliana protein match is: Sec14p-like phosphatidylinositol transfer family protein (TAIR:AT1G75370.1); Has 2627 Blast hits to 2615 proteins in 230 species: Archae - 0; Bacteria - 0; Metazoa - 801; Fungi - 541; Plants - 877; Viruses - 0; Other Eukaryotes - 408 (source: NCBI BLink).",NA,-0.585858692010716,2.48953517473513e-4,TRUE
AT1G19700,NA,NA,NA,NA,NA,NA
AT1G19730,NA,NA,NA,NA,NA,NA
AT1G19770,NA,NA,NA,NA,NA,NA
AT1G19860,NA,NA,NA,NA,NA,NA
AT1G19880,NA,NA,NA,NA,NA,NA
AT1G19970,NA,NA,NA,NA,NA,NA
AT1G19980,downregulated,cytomatrix protein-related; Has 8598 Blast hits to 6353 proteins in 629 species: Archae - 108; Bacteria - 984; Metazoa - 3794; Fungi - 795; Plants - 240; Viruses - 29; Other Eukaryotes - 2648 (source: NCBI BLink).,NA,-0.894242412244685,3.81748145530455e-4,TRUE
AT1G20100,NA,NA,NA,NA,NA,NA
AT1G20110,NA,NA,NA,NA,NA,NA
AT1G20290,NA,NA,NA,NA,NA,NA
AT1G20300,NA,NA,NA,NA,NA,NA
AT1G20460,NA,NA,NA,NA,NA,NA
AT1G20620,downregulated,"Catalase, catalyzes the breakdown of hydrogen peroxide (H2O2) into water and oxygen.",(ATCAT3);CATALASE 3 (CAT3);SENESCENCE 2 (SEN2),-0.835940588225748,6.98616474610563e-5,FALSE
AT1G20670,NA,NA,NA,NA,NA,NA
AT1G20880,downregulated,"RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G76460.1); Has 7701 Blast hits to 7638 proteins in 709 species: Archae - 59; Bacteria - 219; Metazoa - 3282; Fungi - 4; Plants - 1889; Viruses - 133; Other Eukaryotes - 2115 (source: NCBI BLink).",NA,-0.833816839877099,3.40278383703639e-6,TRUE
AT1G20920,NA,NA,NA,NA,NA,NA
AT1G21010,NA,NA,NA,NA,NA,NA
AT1G21160,NA,NA,NA,NA,NA,NA
AT1G21170,NA,NA,NA,NA,NA,NA
AT1G21270,downregulated,"cytoplasmic serine/threonine protein kinase induced by salicylic acid. mutant plants exhibit a loss of cell expansion and dependence on sugars and salts for seedling growth, affecting the expression and activity of vacuolar invertase.",WALL-ASSOCIATED KINASE 2 (WAK2),-1.02056893169805,2.2995187455763e-8,TRUE
AT1G21280,NA,NA,NA,NA,NA,NA
AT1G21320,NA,NA,NA,NA,NA,NA
AT1G21610,NA,NA,NA,NA,NA,NA
AT1G21640,NA,NA,NA,NA,NA,NA
AT1G21660,NA,NA,NA,NA,NA,NA
AT1G21680,NA,NA,NA,NA,NA,NA
AT1G21690,NA,NA,NA,NA,NA,NA
AT1G21695,NA,NA,NA,NA,NA,NA
AT1G21720,NA,NA,NA,NA,NA,NA
AT1G21738,NA,NA,NA,NA,NA,NA
AT1G21740,NA,NA,NA,NA,NA,NA
AT1G21790,NA,NA,NA,NA,NA,NA
AT1G22020,NA,NA,NA,NA,NA,NA
AT1G22140,downregulated,unknown protein; Has 40 Blast hits to 40 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 9; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,NA,-0.755731232161992,2.93624246679236e-5,TRUE
AT1G22190,upregulated,The gene encodes a putative transcription factor belongings to the abiotic stress-associated DREB A-6 clade.,RELATED TO AP2 4 (RAP2.4);OAS HIGH ACCUMULATION 1 (OSH1),0.511036530907966,0.00325921918781402,FALSE
AT1G22260,NA,NA,NA,NA,NA,NA
AT1G22270,NA,NA,NA,NA,NA,NA
AT1G22280,NA,NA,NA,NA,NA,NA
AT1G22520,NA,NA,NA,NA,NA,NA
AT1G22730,NA,NA,NA,NA,NA,NA
AT1G05767,NA,NA,NA,NA,NA,NA
AT1G22800,NA,NA,NA,NA,NA,NA
AT1G22880,NA,NA,NA,NA,NA,NA
AT1G22950,NA,NA,NA,NA,NA,NA
AT1G22985,NA,NA,NA,NA,NA,NA
AT1G23390,NA,NA,NA,NA,NA,NA
AT1G23490,NA,NA,NA,NA,NA,NA
AT1G23780,NA,NA,NA,NA,NA,NA
AT1G23860,NA,NA,NA,NA,NA,NA
AT1G23960,NA,NA,NA,NA,NA,NA
AT1G24100,NA,NA,NA,NA,NA,NA
AT1G24120,NA,NA,NA,NA,NA,NA
AT1G24350,NA,NA,NA,NA,NA,NA
AT1G24360,NA,NA,NA,NA,NA,NA
AT1G24706,NA,NA,NA,NA,NA,NA
AT1G25380,NA,NA,NA,NA,NA,NA
AT1G25400,NA,NA,NA,NA,NA,NA
AT1G25490,NA,NA,NA,NA,NA,NA
AT1G25560,NA,NA,NA,NA,NA,NA
AT1G25580,NA,NA,NA,NA,NA,NA
AT1G25682,NA,NA,NA,NA,NA,NA
AT1G26110,NA,NA,NA,NA,NA,NA
AT1G05993,NA,NA,NA,NA,NA,NA
AT1G05997,NA,NA,NA,NA,NA,NA
AT1G26235,NA,NA,NA,NA,NA,NA
AT1G26270,NA,NA,NA,NA,NA,NA
AT1G26580,NA,NA,NA,NA,NA,NA
AT1G26630,NA,NA,NA,NA,NA,NA
AT1G26830,NA,NA,NA,NA,NA,NA
AT1G27090,NA,NA,NA,NA,NA,NA
AT1G27120,downregulated,"Galactosyltransferase family protein; FUNCTIONS IN: transferase activity, transferring hexosyl groups, transferase activity, transferring glycosyl groups; INVOLVED IN: protein amino acid glycosylation; LOCATED IN: endomembrane system, membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Galectin, carbohydrate recognition domain (InterPro:IPR001079), Glycosyl transferase, family 31 (InterPro:IPR002659), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320), Concanavalin A-like lectin/glucanase (InterPro:IPR008985); BEST Arabidopsis thaliana protein match is: Galactosyltransferase family protein (TAIR:AT5G62620.1); Has 2356 Blast hits to 2323 proteins in 111 species: Archae - 0; Bacteria - 6; Metazoa - 1677; Fungi - 2; Plants - 620; Viruses - 0; Other Eukaryotes - 51 (source: NCBI BLink).",NA,-0.647232959306493,5.15320084451589e-5,TRUE
AT1G27500,NA,NA,NA,NA,NA,NA
AT1G27595,NA,NA,NA,NA,NA,NA
AT1G27760,NA,NA,NA,NA,NA,NA
AT1G28200,NA,NA,NA,NA,NA,NA
AT1G28240,NA,NA,NA,NA,NA,NA
AT1G28280,NA,NA,NA,NA,NA,NA
AT1G28440,NA,NA,NA,NA,NA,NA
AT1G28530,NA,NA,NA,NA,NA,NA
AT1G28560,NA,NA,NA,NA,NA,NA
AT1G28690,NA,NA,NA,NA,NA,NA
AT1G28715,NA,NA,NA,NA,NA,NA
AT1G29060,NA,NA,NA,NA,NA,NA
AT1G29220,NA,NA,NA,NA,NA,NA
AT1G29300,NA,NA,NA,NA,NA,NA
AT1G29630,NA,NA,NA,NA,NA,NA
AT1G29700,NA,NA,NA,NA,NA,NA
AT1G29760,NA,NA,NA,NA,NA,NA
AT1G29840,NA,NA,NA,NA,NA,NA
AT1G29930,NA,NA,NA,NA,NA,NA
AT1G30240,NA,NA,NA,NA,NA,NA
AT1G30440,NA,NA,NA,NA,NA,NA
AT1G30470,NA,NA,NA,NA,NA,NA
AT1G06337,NA,NA,NA,NA,NA,NA
AT1G30620,NA,NA,NA,NA,NA,NA
AT1G30880,NA,NA,NA,NA,NA,NA
AT1G31010,NA,NA,NA,NA,NA,NA
AT1G31020,NA,NA,NA,NA,NA,NA
AT1G31120,NA,NA,NA,NA,NA,NA
AT1G31240,NA,NA,NA,NA,NA,NA
AT1G31300,NA,NA,NA,NA,NA,NA
AT1G31350,NA,NA,NA,NA,NA,NA
AT1G31460,NA,NA,NA,NA,NA,NA
AT1G31500,NA,NA,NA,NA,NA,NA
AT1G31730,NA,NA,NA,NA,NA,NA
AT1G31810,NA,NA,NA,NA,NA,NA
AT1G31814,NA,NA,NA,NA,NA,NA
AT1G31817,NA,NA,NA,NA,NA,NA
AT1G31840,NA,NA,NA,NA,NA,NA
AT1G31860,NA,NA,NA,NA,NA,NA
AT1G32120,NA,NA,NA,NA,NA,NA
AT1G32130,NA,NA,NA,NA,NA,NA
AT1G32310,downregulated,unknown protein; Has 28 Blast hits to 28 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,NA,-0.665443023812734,0.00174489203624219,TRUE
AT1G32330,NA,NA,NA,NA,NA,NA
AT1G32360,NA,NA,NA,NA,NA,NA
AT1G06573,NA,NA,NA,NA,NA,NA
AT1G32630,NA,NA,NA,NA,NA,NA
AT1G32700,NA,NA,NA,NA,NA,NA
AT1G32730,NA,NA,NA,NA,NA,NA
AT1G32740,NA,NA,NA,NA,NA,NA
AT1G06613,NA,NA,NA,NA,NA,NA
AT1G32928,NA,NA,NA,NA,NA,NA
AT1G33250,NA,NA,NA,NA,NA,NA
AT1G33360,NA,NA,NA,NA,NA,NA
AT1G33780,NA,NA,NA,NA,NA,NA
AT1G33980,NA,NA,NA,NA,NA,NA
AT1G34350,NA,NA,NA,NA,NA,NA
AT1G34418,NA,NA,NA,NA,NA,NA
AT1G34460,NA,NA,NA,NA,NA,NA
AT1G34550,NA,NA,NA,NA,NA,NA
AT1G34630,NA,NA,NA,NA,NA,NA
AT1G34770,NA,NA,NA,NA,NA,NA
AT1G34780,NA,NA,NA,NA,NA,NA
AT1G35430,NA,NA,NA,NA,NA,NA
AT1G35460,NA,NA,NA,NA,NA,NA
AT1G35510,NA,NA,NA,NA,NA,NA
AT1G35515,NA,NA,NA,NA,NA,NA
AT1G35560,NA,NA,NA,NA,NA,NA
AT1G35780,NA,NA,NA,NA,NA,NA
AT1G36060,upregulated,encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4.,NA,0.871641848186921,5.19776335514931e-5,FALSE
AT1G36310,NA,NA,NA,NA,NA,NA
AT1G36370,NA,NA,NA,NA,NA,NA
AT1G36980,NA,NA,NA,NA,NA,NA
AT1G36990,NA,NA,NA,NA,NA,NA
